algorithm,seed,phase,attack_type,train_episodes,test_episodes,total_timesteps,training_time_sec,fps,episodes,reward_total_mean,reward_total_std,reward_total_ci95,reward_mean_per_step_mean,reward_mean_per_step_std,reward_mean_per_step_ci95,attack_suppression_rate_mean,attack_suppression_rate_std,attack_suppression_rate_ci95,legitimate_preservation_rate_mean,legitimate_preservation_rate_std,legitimate_preservation_rate_ci95,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_ci95,false_negative_rate_mean,false_negative_rate_std,false_negative_rate_ci95,service_availability_mean_mean,service_availability_mean_std,service_availability_mean_ci95,mitigation_delay_ms_mean_mean,mitigation_delay_ms_mean_std,mitigation_delay_ms_mean_ci95,attack_intensity_observed_mean_mean,attack_intensity_observed_mean_std,attack_intensity_observed_mean_ci95,model_path
DQN,123,Final Phase,high_intensity_adaptive_ddos,1250,40,10000,434.919,22.993,40,95738.02053299041,283.2269234988744,87.77293294799347,598.3626283311901,1.7701682718679606,0.5485808309249579,0.7257366805059424,0.0022944081813524703,0.0007110444620494507,0.8499306603885255,0.001242865272921066,0.0003851679385414215,0.15006933961147445,0.0012428652729210624,0.0003851679385414204,0.2742633194940575,0.002294408181352474,0.0007110444620494517,0.7913512468786106,0.0018347980338609556,0.0005686098016731378,171.05831801629407,1.3695246996332204,0.4244201015444964,0.9576778714074449,0.005026416367378196,0.001557702570547947,./results_revised_5h\dqn_Final_Phase_seed_123.zip
SAC,123,Final Phase,high_intensity_adaptive_ddos,1250,40,10000,481.044,20.788,40,110563.65643759674,284.97377891359315,88.3142890496374,691.0228527349798,1.781086118209959,0.5519643065602343,0.8601318564859664,0.0021993739203762298,0.0006815930394467445,0.8971233822034318,0.001245877004173289,0.00038610128372624044,0.10287661779656827,0.0012458770041732813,0.000386101283726238,0.1398681435140336,0.0021993739203762246,0.0006815930394467428,0.8763525552262328,0.001873240925445756,0.000580523377203725,274.0564412992619,1.6074727249356624,0.4981609585646154,0.9576778714074449,0.005026416367378196,0.001557702570547947,./results_revised_5h\sac_Final_Phase_seed_123.zip
TD3,123,Final Phase,high_intensity_adaptive_ddos,1250,40,10000,474.914,21.056,40,73847.47605014751,334.73090330586444,103.73418165382746,461.54672531342186,2.0920681456616483,0.6483386353364202,0.43700850358820065,0.0023529895058295295,0.0007291990025917448,0.9848796065040242,0.0010087013775243717,0.0003125997955287863,0.015120393495975683,0.0010087013775243704,0.0003125997955287859,0.5629914964117994,0.002352989505829525,0.0007291990025917435,0.6476821027474615,0.0021463011255653513,0.0006651456099342166,291.4685129912141,1.3620212195809729,0.4220947489849077,0.9576778714074449,0.005026416367378196,0.001557702570547947,./results_revised_5h\td3_Final_Phase_seed_123.zip
Baseline,123,Final Phase,high_intensity_adaptive_ddos,0,40,0,0.0,0.0,40,110563.65643759674,284.97377891359315,88.3142890496374,691.0228527349798,1.781086118209959,0.5519643065602343,0.8601318564859664,0.0021993739203762298,0.0006815930394467445,0.8971233822034318,0.001245877004173289,0.00038610128372624044,0.10287661779656827,0.0012458770041732813,0.000386101283726238,0.1398681435140336,0.0021993739203762246,0.0006815930394467428,0.8763525552262328,0.001873240925445756,0.000580523377203725,274.0564412992619,1.6074727249356624,0.4981609585646154,0.9576778714074449,0.005026416367378196,0.001557702570547947,
PPO,2025,Early Phase,low_rate_http_flood,150,20,1200,48.999,24.49,20,38784.92210239766,194.40913039826845,85.2035580793612,484.81152627997074,2.4301141299783575,1.065044475992016,0.09438237714620354,0.0031179596693871312,0.0013665060752830695,0.9878860573056889,0.0012257501286691303,0.0005372086797821246,0.012113942694311064,0.0012257501286691203,0.0005372086797821203,0.9056176228537964,0.0031179596693871434,0.0013665060752830747,0.8636591615977164,0.0031594557293970218,0.0013846925254352525,93.0251707876123,1.9342064365672218,0.8477033466376608,0.2350513319257071,0.004240322218969878,0.0018584031507114015,./results_revised_5h\ppo_Early_Phase_seed_2025.zip
A2C,2025,Early Phase,low_rate_http_flood,150,20,1200,51.391,23.35,20,44690.33753471276,167.89177878458892,73.58181632423677,558.6292191839094,2.0986472348073586,0.9197727040529583,0.33318044299473853,0.003285183514027281,0.0014397951565616202,0.9839693938753283,0.0013961067774446354,0.0006118707730100175,0.016030606124671765,0.0013961067774446252,0.000611870773010013,0.6668195570052615,0.003285183514027272,0.0014397951565616163,0.8845625817030782,0.0025721803578929573,0.0011273077456051244,293.16695767949915,2.2272783353440206,0.9761477694777932,0.2350513319257071,0.004240322218969878,0.0018584031507114015,./results_revised_5h\a2c_Early_Phase_seed_2025.zip
DQN,2025,Early Phase,low_rate_http_flood,150,20,1200,52.807,22.724,20,43335.68563563735,162.29634379541884,71.12950881634161,541.6960704454667,2.028704297442728,0.8891188602042669,0.47796663087588664,0.003364104619000464,0.0014743838558551894,0.7799661974204184,0.0016294957972288729,0.0007141580208441787,0.2200338025795816,0.0016294957972288534,0.0007141580208441701,0.5220333691241134,0.0033641046190004626,0.0014743838558551887,0.8565816780033402,0.0023073110578702384,0.0010112236566444215,148.623117510584,1.9899126875613047,0.87211768758057,0.2350513319257071,0.004240322218969878,0.0018584031507114015,./results_revised_5h\dqn_Early_Phase_seed_2025.zip
SAC,2025,Early Phase,low_rate_http_flood,150,20,1200,56.476,21.248,20,56789.14244242193,157.60553430244602,69.07367091276706,709.8642805302741,1.970069178780576,0.8634208864095886,0.7745600381887883,0.0032904277481904374,0.001442093543521054,0.8641588818352476,0.0016207379201529355,0.0007103197119820236,0.13584111816475236,0.0016207379201529436,0.0007103197119820272,0.22543996181121168,0.003290427748190431,0.0014420935435210513,0.917358661334446,0.002027932868179741,0.0008887807664229799,180.9736308298411,1.9747680656589552,0.8654802643834015,0.2350513319257071,0.004240322218969878,0.0018584031507114015,./results_revised_5h\sac_Early_Phase_seed_2025.zip
TD3,2025,Early Phase,low_rate_http_flood,150,20,1200,56.161,21.367,20,56505.20689883082,158.4112984788139,69.42681263331684,706.3150862353853,1.9801412309851831,0.8678351579164645,0.6588341233343565,0.0034324731648354536,0.0015043476921931193,0.9323725761624144,0.0016184955746556752,0.0007093369607376844,0.06762742383758553,0.001618495574655669,0.0007093369607376817,0.34116587666564335,0.003432473164835452,0.0015043476921931184,0.927633552524501,0.0020982637244431773,0.0009196046232250589,108.91695767949916,2.227278335344016,0.9761477694777912,0.2350513319257071,0.004240322218969878,0.0018584031507114015,./results_revised_5h\td3_Early_Phase_seed_2025.zip
Baseline,2025,Early Phase,low_rate_http_flood,0,20,0,0.0,0.0,20,38811.78180875595,209.13436313590452,91.65717587098968,485.1472726094494,2.614179539198808,1.1457146983873716,0.09537950240570006,0.003947915022535244,0.0017302500465171584,0.9878677417307828,0.001222233000832035,0.0005356672305439815,0.012132258269217027,0.0012222330008320255,0.0005356672305439773,0.9046204975943001,0.003947915022535257,0.001730250046517164,0.863746095965069,0.0031681666546458202,0.0013885102567518862,93.74231258578712,2.292739523996742,1.0048374003500162,0.2350513319257071,0.004240322218969878,0.0018584031507114015,
PPO,2025,Mid Phase,mixed_tcp_http_flood,375,25,3000,124.705,24.057,25,52968.43444852411,189.7319024416854,74.37490575714068,529.684344485241,1.8973190244168403,0.7437490575714014,0.5029911994318433,0.0029438603512138024,0.0011539932576758107,0.816354278016112,0.001528746223955999,0.0005992685197907516,0.18364572198388784,0.001528746223955992,0.0005992685197907489,0.4970088005681567,0.0029438603512138067,0.0011539932576758122,0.8023533213069048,0.002471085736332807,0.0009686656086424602,175.25376166042903,1.612682309629292,0.6321714653746824,0.45591762461073976,0.007327544771810855,0.0028723975505498553,./results_revised_5h\ppo_Mid_Phase_seed_2025.zip
A2C,2025,Mid Phase,mixed_tcp_http_flood,375,25,3000,122.116,24.567,25,52588.55578788577,202.94728877556943,79.55533720002322,525.8855578788576,2.029472887755695,0.7955533720002324,0.3643347036601005,0.0027692898709177796,0.0010855616293997696,0.9843954187622831,0.0012536422934468626,0.0004914277790311701,0.015604581237717009,0.0012536422934468687,0.0004914277790311726,0.6356652963398994,0.0027692898709177826,0.0010855616293997709,0.802163981934886,0.003036409880198814,0.0011902726730379349,292.7436467071403,1.4194131963443846,0.5564099729669987,0.45591762461073976,0.007327544771810855,0.0028723975505498553,./results_revised_5h\a2c_Mid_Phase_seed_2025.zip
DQN,2025,Mid Phase,mixed_tcp_http_flood,375,25,3000,130.695,22.954,25,52968.43444852411,189.7319024416854,74.37490575714068,529.684344485241,1.8973190244168403,0.7437490575714014,0.5029911994318433,0.0029438603512138024,0.0011539932576758107,0.816354278016112,0.001528746223955999,0.0005992685197907516,0.18364572198388784,0.001528746223955992,0.0005992685197907489,0.4970088005681567,0.0029438603512138067,0.0011539932576758122,0.8023533213069048,0.002471085736332807,0.0009686656086424602,175.25376166042903,1.612682309629292,0.6321714653746824,0.45591762461073976,0.007327544771810855,0.0028723975505498553,./results_revised_5h\dqn_Mid_Phase_seed_2025.zip
SAC,2025,Mid Phase,mixed_tcp_http_flood,375,25,3000,141.932,21.137,25,70542.07076901768,168.88252849658764,66.20195117066235,705.4207076901768,1.6888252849658778,0.6620195117066241,0.8052642526908174,0.002861805225231608,0.0011218276482907901,0.876571174313855,0.001540599910214285,0.0006039151648039997,0.12342882568614502,0.001540599910214289,0.0006039151648040013,0.19473574730918253,0.0028618052252316175,0.001121827648290794,0.8986327925038942,0.0017361393807757196,0.0006805666372640821,209.81293790653646,1.649054037534434,0.6464291827134981,0.45591762461073976,0.007327544771810855,0.0028723975505498553,./results_revised_5h\sac_Mid_Phase_seed_2025.zip
TD3,2025,Mid Phase,mixed_tcp_http_flood,375,25,3000,140.615,21.335,25,70542.07076901768,168.88252849658764,66.20195117066235,705.4207076901768,1.6888252849658778,0.6620195117066241,0.8052642526908174,0.002861805225231608,0.0011218276482907901,0.876571174313855,0.001540599910214285,0.0006039151648039997,0.12342882568614502,0.001540599910214289,0.0006039151648040013,0.19473574730918253,0.0028618052252316175,0.001121827648290794,0.8986327925038942,0.0017361393807757196,0.0006805666372640821,209.81293790653646,1.649054037534434,0.6464291827134981,0.45591762461073976,0.007327544771810855,0.0028723975505498553,./results_revised_5h\td3_Mid_Phase_seed_2025.zip
Baseline,2025,Mid Phase,mixed_tcp_http_flood,0,25,0,0.0,0.0,25,52968.43444852411,189.7319024416854,74.37490575714068,529.684344485241,1.8973190244168403,0.7437490575714014,0.5029911994318433,0.0029438603512138024,0.0011539932576758107,0.816354278016112,0.001528746223955999,0.0005992685197907516,0.18364572198388784,0.001528746223955992,0.0005992685197907489,0.4970088005681567,0.0029438603512138067,0.0011539932576758122,0.8023533213069048,0.002471085736332807,0.0009686656086424602,175.25376166042903,1.612682309629292,0.6321714653746824,0.45591762461073976,0.007327544771810855,0.0028723975505498553,
PPO,2025,Extended Phase,bursty_ddos,650,30,5200,208.983,24.882,30,83892.01952828816,214.34771603056575,76.703345090173,699.1001627357347,1.786230966921388,0.6391945424181108,0.8360556577612127,0.0032715797175092523,0.001170719766504715,0.8849534037543311,0.00124074711755272,0.00044399565383618407,0.1150465962456689,0.0012407471175527273,0.0004439956538361866,0.16394434223878732,0.0032715797175092497,0.0011707197665047143,0.8858450920380392,0.0017758979103880362,0.0006354969056259328,240.14476300081907,1.6040236307510218,0.5739924845513322,0.6913732966096031,0.010073338340001091,0.003604697830290825,./results_revised_5h\ppo_Extended_Phase_seed_2025.zip
A2C,2025,Extended Phase,bursty_ddos,650,30,5200,211.015,24.643,30,59412.46138178422,304.1192834834347,108.82768793430783,495.10384484820185,2.5343273623619527,0.9068973994525641,0.4024670410324302,0.0038404971551830825,0.0013743042569664193,0.9833722424497342,0.0009872270085743264,0.0003532746479566763,0.016627757550265857,0.0009872270085743162,0.0003532746479566727,0.5975329589675697,0.0038404971551830834,0.0013743042569664195,0.7255200841952935,0.0034286005783075906,0.0012269089599106922,292.6423992252622,1.2131149748864287,0.43410761857383856,0.6913732966096031,0.010073338340001091,0.003604697830290825,./results_revised_5h\a2c_Extended_Phase_seed_2025.zip
DQN,2025,Extended Phase,bursty_ddos,650,30,5200,221.217,23.506,30,61532.43141817906,253.56899740448551,90.73850037810502,512.7702618181588,2.11307497837072,0.7561541698175445,0.5242499755146897,0.003409716322427391,0.0012201513157315328,0.8506490899396185,0.0012561736215008204,0.00044951595737745113,0.1493509100603814,0.0012561736215008278,0.00044951595737745384,0.47575002448531034,0.003409716322427396,0.0012201513157315347,0.7486145240678277,0.0026599467116145605,0.000951849706265816,203.23103003472303,1.5392289257118958,0.550805997134208,0.6913732966096031,0.010073338340001091,0.003604697830290825,./results_revised_5h\dqn_Extended_Phase_seed_2025.zip
SAC,2025,Extended Phase,bursty_ddos,650,30,5200,247.033,21.05,30,83892.01952828816,214.34771603056575,76.703345090173,699.1001627357347,1.786230966921388,0.6391945424181108,0.8360556577612127,0.0032715797175092523,0.001170719766504715,0.8849534037543311,0.00124074711755272,0.00044399565383618407,0.1150465962456689,0.0012407471175527273,0.0004439956538361866,0.16394434223878732,0.0032715797175092497,0.0011707197665047143,0.8858450920380392,0.0017758979103880362,0.0006354969056259328,240.14476300081907,1.6040236307510218,0.5739924845513322,0.6913732966096031,0.010073338340001091,0.003604697830290825,./results_revised_5h\sac_Extended_Phase_seed_2025.zip
TD3,2025,Extended Phase,bursty_ddos,650,30,5200,244.314,21.284,30,83892.01952828816,214.34771603056575,76.703345090173,699.1001627357347,1.786230966921388,0.6391945424181108,0.8360556577612127,0.0032715797175092523,0.001170719766504715,0.8849534037543311,0.00124074711755272,0.00044399565383618407,0.1150465962456689,0.0012407471175527273,0.0004439956538361866,0.16394434223878732,0.0032715797175092497,0.0011707197665047143,0.8858450920380392,0.0017758979103880362,0.0006354969056259328,240.14476300081907,1.6040236307510218,0.5739924845513322,0.6913732966096031,0.010073338340001091,0.003604697830290825,./results_revised_5h\td3_Extended_Phase_seed_2025.zip
